IA10200 SYD HKG 01AUG2013 $190,023.00
IA10201 SYD HKG 01AUG2013 $171,399.00
IA10300 SYD CBR 01AUG2013 $870.00
IA10301 SYD CBR 01AUG2013 $850.00
IA10302 SYD CBR 01AUG2013 $830.00
IA10303 SYD CBR 01AUG2013 $910.00
IA10304 SYD CBR 01AUG2013 $1,250.00
IA10305 SYD CBR 01AUG2013 $1,250.00
IA10400 CBR SYD 01AUG2013 $1,030.00
IA10401 CBR SYD 01AUG2013 $870.00
IA10402 CBR SYD 01AUG2013 $1,310.00
IA10403 CBR SYD 01AUG2013 $770.00
IA10404 CBR SYD 01AUG2013 $1,130.00
IA10405 CBR SYD 01AUG2013 $1,350.00
IA10500 CBR WLG 01AUG2013 $43,700.00
IA10501 CBR WLG 01AUG2013 $38,916.00
IA10600 WLG CBR 01AUG2013 $37,076.00
IA10601 WLG CBR 01AUG2013 $43,700.00
IA10700 WLG AKL 01AUG2013 $2,500.00
IA10701 WLG AKL 01AUG2013 $2,780.00
IA10702 WLG AKL 01AUG2013 $2,180.00
IA10703 WLG AKL 01AUG2013 $2,140.00
IA10704 WLG AKL 01AUG2013 $2,340.00
IA10705 WLG AKL 01AUG2013 $2,380.00
IA10800 AKL WLG 01AUG2013 $1,380.00
IA10801 AKL WLG 01AUG2013 $2,340.00
IA10802 AKL WLG 01AUG2013 $1,740.00
IA10803 AKL WLG 01AUG2013 $1,740.00
IA10804 AKL WLG 01AUG2013 $1,980.00
IA10805 AKL WLG 01AUG2013 $2,660.00
IA00603 JFK RDU 01AUG2013 $7,236.00
IA00801 SFO RDU 01AUG2013 $52,938.00
IA01205 ORD RDU 01AUG2013 $5,699.00
IA01300 RDU IAD 01AUG2013 $1,635.00
IA01401 IAD RDU 01AUG2013 $1,725.00
IA01404 IAD RDU 01AUG2013 $2,055.00
IA01800 SFO SEA 01AUG2013 $2,967.00
IA01904 RDU BOS 01AUG2013 $3,549.00
IA02100 RDU DFW 01AUG2013 $8,375.00
IA02600 IND RDU 01AUG2013 $4,128.00
IA03001 HNL SFO 01AUG2013 $66,880.00
IA03101 SFO ANC 01AUG2013 $33,274.00
IA03200 ANC SFO 01AUG2013 $34,798.00
IA03603 BNA RDU 01AUG2013 $2,349.00
IA03902 RDU MCI 01AUG2013 $7,353.00
IA04001 MCI RDU 01AUG2013 $6,783.00
IA04103 RDU PWM 01AUG2013 $5,060.00
IA04203 PWM RDU 01AUG2013 $5,852.00
IA04205 PWM RDU 01AUG2013 $3,740.00
IA04500 LHR GLA 01AUG2013 $3,586.00
