17JAN12  16FEB12  1425  .0735                                                   
17FEB12  20MAR12  1374  .0735                                                   
21MAR12  18APR12  1268  .0735                                                   
19APR12  19MAY12  1218  .0735                                                   
20MAY12  19JUN12  1253  .0795                                                   
20JUN12  18JUL12  1349  .0835                                                   
19JUL12  17AUG12  1421  .0835                                                   
18AUG12  18SEP12  1475  .0835                                                   
19SEP12  18OCT12  1278  .0835                                                   
19OCT12  17NOV12  1233  .0795                                                   
18NOV12  15DEC12  1381  .0735                                                   
15DEC12  14JAN13  1402  .0735                                                   
